,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,BULAN,IBU HAMIL,,,JUMLAH IBU MENYUSUI,JUMLAH AKSEPTOR,,,,,,,,PENIMBANGAN BALITA,,,,,,,,,,,,IMUNISASI TT IBU HAMIL,JUMLAH BAYI YANG DIIMUNISASI,,,,,,,,,,,,,,,,,,,,,,,,BLITA YANG MENDERITA DIARE,,,,KETERANGAN
,,JUMLAH,DIPERIKSA,FE TAB (Tablet Besi),,KONDOM,PIL,IMPLANT,MOP,MOW,IUD,SUNTIK,LAIN-LAIN,JML BALITA (S),,JML BALITA YANG MEMILIKI KMS (K),,JML BALITA YANG DITIMBANG (D),,JML BALTA YANG NAIK (N),,JML BALITA YG MENDAPAT VIT. A,,JML BALITA YG MENDAPATKAN PMT,,,BCG,,DPT,,,,,,POLIO,,,,,,,,CAMPAK,,HEPATITIS B,,,,,,JUMLAH,,YANG MENDAPATKAN ORALIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,II,,III,,I,,II,,III,,IV,,,,I,,II,,III,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,L,P,L,P,L,P,L,P,L,P,L,P,,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,L,P,
Januari 2026,18,85,15,,3,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Februari 2026,25,85,18,,7,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maret 2026,23,86,22,,1,,,,,,,,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2026,24,89,19,,5,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei 2026,24,89,20,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juni 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juli 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustus 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktober 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desember 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"REKAPITULASI BAYI, BALITA DAN APRAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan/Tahun,Bayi,Balita & Apras,Jumlah Sasaran,,,,Jumlah Bayi/Balita/Apras dengan Hasil Penimbangan dan Pengukuran/Pemantauan/Pemeriksaan ,,,,,,,,,,,,,,,Jumlah Bayi dan Balita,,,,,,,Jumlah Balita Sakit,Jumlah Sasaran Dirujuk,,,,,,,,,,,,,,,,,,,,,,,,,
,(0-6 bulan),(26 bulan -,Datang,,Tidak Datang,,Balita dg Ceklis Perkembangan,,BB U(0-5 th),,,,Hasil Pengukuran PB/TB/Umur 0-5 th,,Hasil Pengukuran BB/TP atau BB/TB,,Hasil Pengukuran Lingkar Kepala,,Lingkar Lengan Atas,,Gejala TBC,,,,,,,,,Bayi,Balita/Apras,,,,,,,,,,,,,,,,,,,,,,,,
,,6 Tahun),Bayi,Balita,Bayi,Balita,Lengkap,Tidak Lengkap,Naik,Tidak Naik,Gizi Baik,Gizi Buruk,Normal,Tidak Normal,Gizi Baik,Gizi Buruk,Normal,Tidak Normal,Normal,Tidak Normal,2 Gejala,Asi Exclusive,MP Asi,Imunisasi Bayi/Balita,Vit. A,Obat Cacing,MT Pangan Lokal,Edukasi,,(0-6 bln),(>=6 bln - 6 th),,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,,,,
*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Februai 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maret 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juni 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juli 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustus 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktober 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desember 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REKAPITULASI USIA SEKOLAH DAN REMAJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan/Tahun,Jumlah Sasaran,,,,,,Jumlah Usia Sekolah/Remaja dengan Hasil Penimbangan/ Pengukuran/Pemeriksaan,,,,,,,,,,,,,,,,Jumlah Usia,Jumlah Usia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-14,15-18,Datang,,Tidak Datang,,IMT,,,,,Remaja berusia ≥ 15 tahun,,,,,,,,,Gejala TBC,Skirining masalah,Sekolah/ Remaja,Sekolah/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tahun,Tahun,6-14 th,15-18 th,6-14 th,15-18 th,Sangat Kurus,Kurus,Normal,Gemuk,Obesitas,Lingkar Perut (cm),Tekanan Darah,,,Gula Darah,,,Remaja Putri,,Memenuhi 2 -,Kesehatan ,Mendapatkan,Remaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rendah,Normal,Tinggi,Rendah,Normal,Tinggi,Anemia,Tidak Anemia,Gejala TBC,HEEADSSS,Edukasi,dirujuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januari 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Februai 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maret 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juni 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juli 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustus 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktober 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desember 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REKAPITULASI DEWASA DAN LANSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulan/Tahun,Hasil Penimbangan / Pengukuran / Pemeriksaan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah usia,Jumlah Usia,,,,,,,,,,,,,,,,,,
,IMT,,,,,Usia Dewasa dan Lansia,,,,,,,,,,,Skrining PUMA/PPOK Dewasa >= 40 th,,Lansia,,,,,,,,,,,,,,,,,Dewasa dan,Dewasa dan,,,,,,,,,,,,,,,,,,
,Sangat Kurus,Kurus,Normal,Gemuk,Obesitas,Lingkar Perut (cm),,Tekanan Darah,,,Gula Darah,,,Skrining Kesehatan Jiwa >=18 th,,,Tinggi,Normal,Tingkat Ketergantungan (AKS),,,,,Skrining Lansia Sederhana (SKILAS),,,,Skrining Lansia Sederhana (SKILAS),,,,Skrining Lansia Sederhana (SKILAS),,,,Lansia,Lansia,,,,,,,,,,,,,,,,,,
,,,,,,Laki-laki >90cm,Perempuan >80cm,Rendah,Normal,Tinggi,Rendah,Normal,Tinggi,Kesehatan Jiwa,,,,,Kategori A,Kategori B,,Kategori C,,Kognitif,,Gerak,,Malnutrisi,,Pendengaran,,Penglihatan,,Depresi,,mendapatkan,dirujuk,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,<6,>=6,Jika Pertayaan 17=ya,<6,>6,M,R,S,B,T,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Edukasi,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,,,,,
Januari 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Februai 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maret 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mei 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juni 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juli 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agustus 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktober 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desember 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
